Bottle,Barrel,Selected by,Nickname,Age,Proof,Type,Finish,Mashbill,Source,Distill Date,Bottle Date,Price,State,Retail Partner
36,I21-09,Eureka!,Llama,,116.2,,,,,,,,CA,Eureka
37,I21-11,Eureka!,Llama,,118.24,,,,,,,,CA,Eureka
38,I21-14,Eureka!,Llama,4yrs 9mos,116.86,,,,,,,,CA,Eureka
39,I21-15,Eureka!,Llama,,117.86,,,,,,,,CA,Eureka
40,I21-20,Eureka!,Llama,4yrs 9mos,115.24,,,,,,,,CA,Eureka
41,RIO-239,Fernside,Feel the Fern,5yrs 10mos,113.92,,,75/21/4,MGP,,,,CA,
42,IRT-07,Founder's Choice,Cascade,5yrs 7mos,118.48,,,60/36/4,MGP,,,$69.99,NY,Mash & Grape
43,IRT-20,Founder's Choice,Sunset,,,,,60/36/4,MGP,,,$69.99,NY,Mash & Grape
44,RIO-273,Founder's Choice,,5yrs 8mos,116.36,,,75/21/4,MGP,,,,NY,
45,BAL-B-02,George Awad and the Neat Freaks,,5yrs 2mos,114.06,,Balsamo,,,,,,FL,Sunshine Liquor
46,RIO-213,Germantown Village Wine & Liquor,,6yrs,116.96,,,75/21/4,MGP,,,,TN,
47,RIO-214,Germantown Village Wine & Liquor,,,,,,75/21/4,MGP,,,,TN,
48,RIO-260,Germantown Village Wine & Liquor,,6yrs 6mos,112.24,,,75/21/4,MGP,,,,TN,
49,IRT-05,Good Lion,,,,,,60/36/4,MGP,,,,CA,
50,RIO-270,Gordon's Est 1934 @TheWhiskyGuys,,6yrs 7mos,117.14,,,75/21/4,MGP,5/16,12/22,$74.99,MA,Gordon's Wine
51,IRT-46,Hatchet Hall,,,107.2,,,60/36/4,MGP,,,,CA,
52,RIO-222B,Helix Liquor,,6yrs 1mos,115.6,,,75/21/4,MGP,5/16,6/22,$79.99,CA,Bottle Broz
53,RIO-229,Heritage Selections,,5yrs 8mos,114.92,,,75/21/4,MGP,,,,KY,
54,I21-08,Heritage Selections,,4yrs 5mos,116.3,,,,,,,,KY,
55,RIO-295,Hi-Time Wine Cellars,,5yrs 9mos,117.12,,,75/21/4,MGP,,,,CA,Hi-Time Wine Cellars
56,RIO-265,Hotel Covington,,5yrs 8mos,117.96,,,75/21/4,MGP,,,,KY,
57,IRT-40,Jarred Dooley,Playground,5yrs,119.22,,,60/36/4,MGP,11/12/16,11/12/21,,CA,
58,IRT-27,Joe C,,5yrs,116.66,,,60/36/4,MGP,11/16/16,11/28/21,,CA,Everson Royce
59,JR-1 / KHT-02,Joe C,,4yrs 11mos,118.48,,Jamaican Rum,60/36/4,MGP,,4/22,$103.00,CA,Everson Royce
60,RIO-213-A,Joe C with No Us Without You,,6yrs,113.72,,,75/21/4,MGP,5/16,6/22,$92.00,CA,Everson Royce
61,RIO-256,Justin's House of Bourbon,,6yrs,118.34,,,75/21/4,MGP,,,,KY,Justin's House of Bourbon
62,IRT-21,K&L Wine Merchants,Hollywood Sign,5yrs,119.68,,,60/36/4,MGP,,,$69.99,CA,K&L Wine Merchants
63,IRT-24,K&L Wine Merchants,SF Palace of Fine Arts,5yrs,119.68,,,60/36/4,MGP,,,$69.99,CA,K&L Wine Merchants
64,RIO-234,K&L Wine Merchants,Our Lady of the Angels,6yrs,115.44,,,75/21/4,MGP,5/16,5/22,$79.99,CA,K&L Wine Merchants
65,RIO-254,K&L Wine Merchants,Bay Bridge,6yrs,112.86,,,75/21/4,MGP,,,$79.99,CA,K&L Wine Merchants
66,WP-B-05,Khoury's,,6yrs 6mos,104.42,,White Port,60/36/4,MGP,,11/22,,NV,Khoury's
67,RIO-261,Khoury's Fine Wine,,6yrs,114.04,,,75/21/4,MGP,,,,NV,Khoury's
68,IRT-10,Lake District Wine & Liquor,,5yrs 6mos,120.16,,,60/36/4,MGP,,,,TN,
69,I21-16,Laundry Room,,4yrs 6mos,96,,,,,,,,NV,NFS
70,IRT-18,Lee's Discount Liquor,Roses,5yrs 4mos,118.8,High Rye,,60/36/4,MGP,,,,NV,Lee's Discount Liquor
71,OLS-B-05,Lee's Discount Liquor,Lovers,5yrs 11mos,112.74,,Oloroso,60/36/4,MGP,,,,NV,Lee's Discount Liquor
72,RIO-232,Lee's Discount Liquor,Awakening,6yrs 5mos,112.84,,,75/21/4,MGP,,,,NV,Lee's Discount Liquor
73,RIO-244,Lee's Discount Liquor,Smile,5yrs 10mos,114.72,,,75/21/4,MGP,,,,NV,Lee's Discount Liquor
74,RIO-262,Life of Luxe,Edition 1,6yrs,118.34,,,75/21/4,MGP,,,,DC,
75,IRT-38,Liquor Barn,,5yrs 1mo,118.26,,,60/36/4,MGP,12/16,1/22,,KY,Liquor Barn
76,RIO-300,Liquor Barn,,5yrs 7mos,116.3,,,75/21/4,MGP,,,,KY,Liquor Barn
77,I21-12,Liquor Barn,,4yrs 6mos,116.76,,,,,,,,KY,Liquor Barn
78,OLS-13-04,Liquor Junction & Mass Bourbon Alliance,,6yrs 7mos,110.1,,Oloroso,60/36/4,MGP,,12/22,,MA,Liquor Junction
79,RIO-219,LiquorLineup.com,,5yrs 7mos,117.74,Indiana,,75/21/4,MGP,5/16,1/22,,NV,LiquorLineup.com
80,IRT-42-B,Littlebear Bottleshop,,5yrs,120.76,,,60/36/4,MGP,,,,CA,
81,OLS-B-06,Littlebear Bottleshop,,5yrs 6mos,110.78,,Oloroso,60/36/4,MGP,,,,CA,
82,RIO-286-B,Local Feed,,,,,,75/21/4,MGP,,,,KY,
83,RIO-204,Lotus of Siam,,6yrs 1mo,95,,,75/21/4,MGP,,,,NV,
84,RIO-226,Lotus of Siam,,,,,,75/21/4,MGP,,,,NV,
85,,Major League Bourbon Clubhouse,,,,,,,,,,,,
86,IRT-53,Majority Rule,,5yrs 7mos,111.14,,,60/36/4,MGP,,,,TN,
87,RIO-290,Mash & Journey Whiskey Club,,6yrs,113.54,,,75/21/4,MGP,5/16,5/22,$82.99,DC,
88,RIO-251,MGM Resorts,,6yrs 5mos,95,,,75/21/4,MGP,,,,NV,
